Country,GDP ($ USD billions PPP),GDP per capita in $ (PPP),Military Spending as % of GDP,health expenditure % of GDP,health expenditure per person,unemployment (%)
Latvia,58.5134972925,32163.45134,0.021402095,4.679183244666667,1232.4301353333333,8.7499999525
Lebanon,86.400299745,13276.61737,0.042,2.2854043075714285,825.0366211,10.64399996
Lesotho,5.41182137525,2674.22818475,0.013935937499999999,9.058493972,166.62778726666667,25.998999785
Liberia,7.264855482,1533.425466,0.007256472999999999,2.70628237725,80.59492238666667,4.047499895
Libya,143.822946225,22241.0763875,0.155,,,19.391999815
Lithuania,103.9405,39115.7098675,0.020108631000000002,4.0526900291666665,1498.0034993333331,8.551499939
Luxembourg,72.2472931825,121726.85884999999,0.0061344039999999996,3.6810100078,6276.608398333333,5.5635001185
Macedonia,33.7645943375,17245.113579999997,0.013705212500000001,3.655546307625,564.3280843,21.451499554999998
Madagascar,42.0784242425,1624.07528825,0.0068501715,2.751285701875,39.72899627666667,2.3470000505
Malawi,28.5782291775,1596.0787277499999,0.009244848,4.009739994875,58.61126073333333,6.860499954
Malaysia,879.4810116250001,28848.97339,0.0102899685,4.50049251325,642.3602091333333,3.954500103
Maldives,8.9905228395,17812.84669,,3.815175737571429,1051.6027628666668,4.6390000345
Mali,45.1860502525,2388.2674895,0.0276097415,3.656348735125,61.89346313666667,7.909999895
Malta,22.104375859999998,45983.557205,0.0055683,5.44106996075,2918.8072916666665,4.399500036
Mauritania,23.77938954,5467.121171250001,0.025890811,1.88268750925,97.39393107000001,11.58150015
Mauritius,26.8279659175,22335.6566425,0.0018477885000000001,4.826322496125,813.8560384333333,7.607000017
Mexico,2436.4138805000002,19666.49641,0.005900654,4.736728350333333,690.1268717666667,4.1895000934999995
Moldova,34.2468899075,13703.4829125,0.004058068,5.952444970625,358.5928548333333,4.4809999465
Mongolia,38.9544344225,12639.433430000001,0.006777165,4.892191410000001,264.27392576666665,6.8909998895
Montenegro,12.59145959,21842.7358575,0.016714727999999998,,807.8799845333333,17.993499755000002
Morocco,273.892965725,7750.6308595,0.036417565,5.758851448833333,261.3352050666667,10.733500005
Mozambique,38.67614006,1324.00343275,0.01205595,6.039443373625,48.06248219666667,14.191000056499998
Myanmar,244.29204475,4745.6737575,0.033349398,2.097309963857143,128.74064255,1.4865000485
Namibia,23.700901895,9928.84477675,0.0300085995,10.789014934875,611.2467651333333,23.63899975
Nepal,111.151226175,14374.248080000001,0.0146849595,4.1070037185,85.12755966333333,4.126000023
Netherlands,973.411291575,59966.18729,0.013612253500000001,5.362843195666667,5328.428548333333,5.1050001145
New Zealand,214.6217976,44788.211559999996,0.014354903499999998,6.239336649666666,3926.169759333334,4.662000036
Nicaragua,36.58155692,5861.919161,0.006517908,4.366320013875001,246.75087486666666,5.9284998895
Niger,28.7517176275,1275.77437175,0.018208358,3.7233767808750002,43.22126007,1.6754999935000001
Nigeria,1026.45613875,5318.9049055,0.0073512460000000005,,117.67046102,7.3940000535
Norway,345.804815825,69613.39253,0.017706776,7.749186833666666,7500.418782333334,4.892500067
Oman,154.56962416666667,32365.161383333336,0.080721919,5.46845996375,979.5695597333333,10.3109999895
Pakistan,1154.1035940000002,5566.64175275,0.0391663705,2.6722482838333335,72.12414042,5.1260001185
Panama,124.764541375,30752.0681675,,3.198148999857143,1289.1603189999998,8.944000149999999
Papua New Guinea,36.745633857499996,4373.64609425,0.003876307,1.904863358,75.85642751,2.6260000464999997
Paraguay,89.5226885875,13323.1749975,0.009869799,3.5110147682857145,500.81362913333334,6.3029999255
Peru,405.2702312,13072.78339,0.0115757825,3.9296774565,468.9912618,4.866500091500001
Philippines,916.500902625,8881.12241425,0.0101892375,3.527183771,197.88708496666666,4.1529999495
Poland,1247.214583,34385.086834999995,0.020602072,4.6948233445000005,1232.2579549,4.7840000155
Portugal,345.95492445,35291.46679,0.019863787,4.8750940322,2366.2486166666667,8.923499918
Qatar,250.81435505,92617.5703075,0.031534057000000004,3.1687860012,2479.1119386666664,0.228999993
Romania,570.256013275,32206.375895,0.0197696145,3.1659383775000003,838.5707601,5.7845000745
Russia,3971.73874275,30402.0927725,0.039900331,4.275776545166667,892.1421305333333,5.3550001145
Rwanda,27.7862478475,2291.9490125,0.013726622,3.96195337175,82.23148982,2.0534999965000003
Saudi Arabia,1588.4679825,48520.2551875,0.0729723795,7.671009858666667,1926.2600096666665,6.428999901
Senegal,55.4922579775,3542.8076815,0.016289569,5.26468265025,72.63143793666667,6.611500025
Serbia,127.551278475,19266.658055,0.0214325025,3.691335746285714,860.7038574333334,14.15350008
Sierra Leone,13.1251769675,1753.6053,0.0065453295000000005,5.687142640125,115.47506077999999,4.1665000915
Singapore,557.66260345,104821.3300375,0.030891156500000003,2.754507511875,2993.796224,2.712000036
Slovakia,170.49486919999998,31886.97411,0.017529079,4.10387667,1567.9954019999998,8.3699998855
Slovenia,80.5557968725,40745.588655,0.011590379,4.941030025500001,2374.2265626666667,6.5614999295
Solomon Islands,829.704497325,2702.20618325,,11.437112569375,127.09503173333333,16.214500022
Somalia,1.73752087875,1235.28386,,,,13.232499885
South Africa,18.3597660725,14068.9203475,0.01,5.745377540625,732.3972371333333,29.729499054999998
South Sudan,786.01579725,,0.028841075,1.4139733313333334,40.11380895,13.91499996
Spain,1831.31726025,40230.7910625,0.012853907500000001,4.2413880348,2878.1540526666668,17.0664999
Sri Lanka,280.90789635,13538.26296,0.018877694,2.0314039946,225.26845296666667,5.1974999905
Sudan,176.484983225,4295.7993165,0.0130822355,,127.81434885666665,16.552500155
Suriname,10.07597268675,18177.226405,,5.486116409285714,703.7619730666667,10.03249979
Sweden,538.93084075,55627.3151525,0.011884249,7.5811266900000005,5658.483886666666,7.880500125999999
Switzerland,604.750430275,73190.8809475,0.007058214,4.9034665424999995,9040.000651333334,4.9605000495
Syria,,,0.041,,,12.436499975
Taiwan,,,0.017214117,,,4.0
Tajikistan,34.343343665,3843.00096125,0.011046064000000001,5.592258374,104.90512339333333,9.2770000935
Tanzania,150.87442865,2784.32989525,0.011837137,4.1532800793749995,59.45975239999999,2.6244999645
Thailand,1241.98793575,18789.56063,0.0130922135,3.3530300685714285,394.9319763333333,1.0089999915
Timor-Leste,4.79825563975,3876.5808779999998,0.010707903500000001,7.5602060318,109.10563405666666,4.5369999409999995
Togo,17.3077882175,2231.37897325,0.024418652,4.179468274,67.3494339,5.4020000935
Trinidad and Tobago,35.9740765075,27142.417322499998,0.0079400805,3.93227097375,1505.0345456666666,4.352499914
Tunisia,128.31318165,11511.6834525,0.0271448875,6.808889865666667,414.5973816,15.811999700000001
Turkiye,2434.1671232500003,28134.0640875,0.0238194825,4.294069767,594.1107991666667,11.842999840000001
Turkmenistan,89.594704385,15697.107085,,3.120650053,654.7768351333333,6.8404999255
Uganda,97.4412281875,2285.62271475,0.02261927,2.52558404175,67.82099151666667,2.6180000545
Ukraine,528.297622575,13321.0349125,0.033141734500000006,5.463839939714285,313.202947,8.889499855
United Arab Emirates,645.999097,68826.28973,0.056,3.8757032553333333,2028.6807046666665,3.52900002
United Kingdom,3059.615334,48204.2920275,0.0196161415,5.4013860702,4242.703450333333,4.663000011499999
United States,20324.115234999997,65053.8173275,0.034416079,4.94327759775,10324.11198,5.182000112500001
Uruguay,78.040297045,23735.9704625,0.0212815325,4.580332824142857,1698.3413899999998,9.323499774999998
Uzbekistan,250.412277425,7788.5722605,0.036,5.54610383525,187.94747670333334,8.0304998875
Venezuela,,,0.005,1.4881633123333333,460.62324013333335,6.6565000535
Vietnam,982.147393275,10699.0782125,0.02,4.197916746166666,225.9563802,2.1829999445
Yemen,,,0.04,,144.0,15.33700018
Zambia,61.440461365,3575.94073225,0.0125238265,4.2389531730000005,116.21293386,10.263000009999999
Zimbabwe,33.800820395,2415.220398,0.0035676505,5.162460009,142.13252666666668,5.1369998930000005
